monday,lunes
tuesday,martes
wednesday,miercoles
thursday,jueves
friday,viernes
saturday,sabado
sunday,domingo
weekend,fin de semana
january,enero	
february,febrero
march,marzo
april,abril
may,mayo
june,junio
july,julio
august,agosto
september,septiembre
october,octubre
november,noviembre
december,diciembre
what,que
which,cual
where,donde
when,cuando
why,por que
who,quien
whom,quien
whose,de quien
black,negro
grey,gris
violet,violeta
white,blanco
green,verde
orange,naranja
red,rojo
brown,marron
skyblue,celeste
blue,azul
yellow,amarillo
pink,rosa
purple,purpura
beige,beige
turquoise,turquesa
big,grande
large,ancho
huge,enorme
small,pequeño
tiny,enano
heavy,pesado
light,ligero
thick,grueso
thin,delgado
skinny,delgado
wide,ancho
high,alto
low,bajo
tall,alto
short,bajo
long,largo
medium,mediano
narrow,estrecho
pen,boligrafo
pencil,lapiz
sharpener,sacapuntas
rubber,goma
book,libro
dictionary,diccionario
coursebook,libro de texto
table,mesa
chair,silla
blackboard,pizarra
window,ventana
door,puerta
chalk,tiza
sponge,esponja
bag,maleta
backpack,mochila
folder,carpeta
notebook,cuaderno
paper,papel
sheet,hoja
teacher,profesor
lecturer,docente
student,estudiante
learner,alumno
scissors,tijeras
ruler,regla
hair,pelo
hairs,pelos
head,cabeza
heads,cabezas
eye,ojo
eyes,ojos
ear,oreja
ears,orejas
forehead,frente
nose,nariz
mouth,boca
tooth,diente
teeth,dientes
lips,labios
chin,barbilla
face,cara
neck,cuello
shoulder,hombro
back,espalda
arm,brazo
arms,brazos
hand,mano
hands,manos
belly,barriga
finger,dedo
bottom,culo
bottoms,culos
leg,pierna
legs,piernas
foot,pie
feet,pies
happy,feliz
sad,triste
tired,cansado
hungry,hambriento
thirsty,sediente
angry,enfadado
sick,enfermo
healthy,saludable
frustrated,frustrado
motivated,motivado
stressed,estresado
nervous,nervioso
relaxed,relajado
cold,frio
warm,caliente
faculty,facultad
university,universidad
classroom,clase
library,biblioteca
canteen,cafeteria
courtyard,patio
secretariat,secretariado
denaery,decanato
toilet,aseo
office,despacho
corridor,pasillo
supermarket,supermercado
restaurant,restaurante
bakery,panaderia
pharmacy,farmacia
hospital,hospital
council,ayuntamiento
theatre,teatro
cinema,cine
museum,museo
pool,piscina
church,iglesia
pub,pub
disco,discoteca
shop,tienda
mall,centro comercial
nursery,guarderia
school,colegio
read,leer
play,jugar
zap,zapear
learn,aprender
study,estudiar
drink,beber
eat,comer
smoke,fumar
dance,bailar
talk,hablar
chat,chatear
gossip,cotillear
relax,relajarse
photograph,fotografiar
telephone,llamar por telefono
write,escribir
email,enviar un email
listen,escuchar
cook,cocinar
sing,cantar
go,ir
do,hacer
make,hacer
swim,nadar
bathe,bañarse
shower,ducharse
run,correr
jog,hacer footing
paint,pintar
photocopy,fotocopiar
search,buscar
ask,preguntar
answer,responder
open,abrir
close,cerrar
sleep,dormir
drive,conducir
think,pensar
visit,visitar
